edinet_code,sec_code,filer_name,field,value,precision,source,source_url,source_qid,query,retrieved_at,notes,error
E00034,8835,太平洋興発株式会社,date_of_establishment,1920-04-22,date,wikidata,https://www.wikidata.org/wiki/Q11443987,Q11443987,,2026-08-15T07:57:14Z,Wikidata P571,
E00035,7021,株式会社ニッチツ,date_of_establishment,1950,year,wikipedia,https://ja.wikipedia.org/wiki/%E3%83%8B%E3%83%83%E3%83%81%E3%83%84,,ニッチツ,2026-08-15T07:57:17Z,Wikipedia infobox 設立,
E00036,1515,日鉄鉱業株式会社,date_of_establishment,1939-05-20,date,wikidata,https://www.wikidata.org/wiki/Q11510685,Q11510685,,2026-08-15T07:57:14Z,Wikidata P571,
E00037,1518,三井松島ホールディングス株式会社,date_of_establishment,1913-01-25,date,wikidata,https://www.wikidata.org/wiki/Q11354281,Q11354281,,2026-08-15T07:57:14Z,Wikidata P571,
E00041,1662,石油資源開発株式会社,date_of_establishment,1955,year,wikidata,https://www.wikidata.org/wiki/Q6107693,Q6107693,,2026-08-15T07:57:14Z,Wikidata P571,
E00043,1605,株式会社ＩＮＰＥＸ,date_of_establishment,2006,year,wikidata,https://www.wikidata.org/wiki/Q1654229,Q1654229,,2026-08-15T07:57:14Z,Wikidata P571,
E00048,1925,大和ハウス工業株式会社,date_of_establishment,1947-03-04,date,wikidata,https://www.wikidata.org/wiki/Q913825,Q913825,,2026-08-15T07:57:14Z,Wikidata P571,
E00052,1801,大成建設株式会社,date_of_establishment,1873,year,wikidata,https://www.wikidata.org/wiki/Q3178370,Q3178370,,2026-08-15T07:57:14Z,Wikidata P571,
E00053,1803,清水建設株式会社,date_of_establishment,1804,year,wikidata,https://www.wikidata.org/wiki/Q7496874,Q7496874,,2026-08-15T07:57:14Z,Wikidata P571,
E00055,1802,株式会社大林組,date_of_establishment,1892,year,wikidata,https://www.wikidata.org/wiki/Q384730,Q384730,,2026-08-15T07:57:14Z,Wikidata P571,
E00056,1861,株式会社　熊谷組,date_of_establishment,1898,year,wikidata,https://www.wikidata.org/wiki/Q6443371,Q6443371,,2026-08-15T07:57:14Z,Wikidata P571,
E00058,1812,鹿島建設株式会社,date_of_establishment,1840,year,wikidata,https://www.wikidata.org/wiki/Q1081154,Q1081154,,2026-08-15T07:57:14Z,Wikidata P571,
E00059,1887,日本国土開発株式会社,date_of_establishment,1951-04-10,date,wikidata,https://www.wikidata.org/wiki/Q11507575,Q11507575,,2026-08-15T07:57:14Z,Wikidata P571,
E00060,1820,西松建設株式会社,date_of_establishment,1937-09-20,date,wikidata,https://www.wikidata.org/wiki/Q11628762,Q11628762,,2026-08-15T07:57:14Z,Wikidata P571,
E00064,1810,松井建設株式会社,date_of_establishment,1939-01-20,date,wikidata,https://www.wikidata.org/wiki/Q11529110,Q11529110,,2026-08-15T07:57:14Z,Wikidata P571,
E00065,1815,鉄建建設株式会社,date_of_establishment,1944-02-01,date,wikidata,https://www.wikidata.org/wiki/Q11649550,Q11649550,,2026-08-15T07:57:14Z,Wikidata P571,
E00066,1882,東亜道路工業株式会社,date_of_establishment,1930-11-28,date,wikidata,https://www.wikidata.org/wiki/Q11523961,Q11523961,,2026-08-15T07:57:14Z,Wikidata P571,
E00069,1811,株式会社錢高組,date_of_establishment,1931-04-10,date,wikidata,https://www.wikidata.org/wiki/Q11650404,Q11650404,,2026-08-15T07:57:14Z,Wikidata P571,
E00073,1941,株式会社中電工,date_of_establishment,1944-09-29,date,wikidata,https://www.wikidata.org/wiki/Q11367826,Q11367826,,2026-08-15T07:57:14Z,Wikidata P571,
E00074,1942,株式会社関電工,date_of_establishment,1944-09-01,date,wikidata,https://www.wikidata.org/wiki/Q11656501,Q11656501,,2026-08-15T07:57:14Z,Wikidata P571,
E00075,1944,株式会社きんでん,date_of_establishment,1944-08-26,date,wikidata,https://www.wikidata.org/wiki/Q11265237,Q11265237,,2026-08-15T07:57:14Z,Wikidata P571,
E00076,1946,株式会社トーエネック,date_of_establishment,1944-10-01,date,wikidata,https://www.wikidata.org/wiki/Q11322302,Q11322302,,2026-08-15T07:57:14Z,Wikidata P571,
E00079,1892,徳倉建設株式会社,date_of_establishment,1947-04-21,date,wikidata,https://www.wikidata.org/wiki/Q11489516,Q11489516,,2026-08-15T07:57:14Z,Wikidata P571,
E00080,1885,東亜建設工業株式会社,date_of_establishment,1920-01-23,date,wikidata,https://www.wikidata.org/wiki/Q7670949,Q7670949,,2026-08-15T07:57:14Z,Wikidata P571,
E00081,1888,若築建設株式会社,date_of_establishment,1890-05-23,date,wikidata,https://www.wikidata.org/wiki/Q11616680,Q11616680,,2026-08-15T07:57:14Z,Wikidata P571,
E00083,1833,株式会社奥村組,date_of_establishment,1938-03-03,date,wikidata,https://www.wikidata.org/wiki/Q11445911,Q11445911,,2026-08-15T07:57:14Z,Wikidata P571,
E00086,1893,五洋建設株式会社,date_of_establishment,1950-04-28,date,wikidata,https://www.wikidata.org/wiki/Q7164914,Q7164914,,2026-08-15T07:57:14Z,Wikidata P571,
E00090,1808,株式会社　長谷工コーポレーション,date_of_establishment,1946-08-22,date,wikidata,https://www.wikidata.org/wiki/Q11654016,Q11654016,,2026-08-15T07:57:14Z,Wikidata P571,
E00092,1945,株式会社東京エネシス,date_of_establishment,1947-08-14,date,wikidata,https://www.wikidata.org/wiki/Q28691250,Q28691250,,2026-08-15T07:57:14Z,Wikidata P571,
E00093,1814,大末建設株式会社,date_of_establishment,1947-03-20,date,wikidata,https://www.wikidata.org/wiki/Q11435927,Q11435927,,2026-08-15T07:57:14Z,Wikidata P571,
E00094,1951,エクシオグループ株式会社,date_of_establishment,1946-12-28,date,wikidata,https://www.wikidata.org/wiki/Q11407217,Q11407217,,2026-08-15T07:57:14Z,Wikidata P571,
E00095,1822,大豊建設株式会社,date_of_establishment,1949-03-31,date,wikidata,https://www.wikidata.org/wiki/Q11439194,Q11439194,,2026-08-15T07:57:14Z,Wikidata P571,
E00097,1813,株式会社不動テトラ,date_of_establishment,1947-01-28,date,wikidata,https://www.wikidata.org/wiki/Q11361587,Q11361587,,2026-08-15T07:57:14Z,Wikidata P571,
E00098,1926,ライト工業株式会社,date_of_establishment,1948-09-28,date,wikidata,https://www.wikidata.org/wiki/Q11346447,Q11346447,,2026-08-15T07:57:14Z,Wikidata P571,
E00105,1827,株式会社ナカノフドー建設,date_of_establishment,1942-12-19,date,wikidata,https://www.wikidata.org/wiki/Q6960268,Q6960268,,2026-08-15T07:57:14Z,Wikidata P571,
E00107,1961,三機工業株式会社,date_of_establishment,1949-08-01,date,wikidata,https://www.wikidata.org/wiki/Q11356040,Q11356040,,2026-08-15T07:57:14Z,Wikidata P571,
E00109,1972,三晃金属工業株式会社,date_of_establishment,1949-06-16,date,wikidata,https://www.wikidata.org/wiki/Q11355547,Q11355547,,2026-08-15T07:57:14Z,Wikidata P571,
E00112,1835,東鉄工業株式会社,date_of_establishment,1943-07-07,date,wikidata,https://www.wikidata.org/wiki/Q11528636,Q11528636,,2026-08-15T07:57:14Z,Wikidata P571,
E00115,1950,日本電設工業株式会社,date_of_establishment,1942-12-15,date,wikidata,https://www.wikidata.org/wiki/Q11509395,Q11509395,,2026-08-15T07:57:14Z,Wikidata P571,
E00117,1847,株式会社イチケン,date_of_establishment,1930-06,month,wikidata,https://www.wikidata.org/wiki/Q22124415,Q22124415,,2026-08-15T07:57:14Z,Wikidata P571,
E00118,1850,南海辰村建設株式会社,date_of_establishment,1944-06-30,date,wikidata,https://www.wikidata.org/wiki/Q11408197,Q11408197,,2026-08-15T07:57:14Z,Wikidata P571,
E00119,1964,中外炉工業株式会社,date_of_establishment,1945-04-25,date,wikidata,https://www.wikidata.org/wiki/Q11363539,Q11363539,,2026-08-15T07:57:14Z,Wikidata P571,
E00120,1852,株式会社淺沼組,date_of_establishment,1937-06-15,date,wikidata,https://www.wikidata.org/wiki/Q11560409,Q11560409,,2026-08-15T07:57:14Z,Wikidata P571,
E00121,1826,佐田建設株式会社,date_of_establishment,1949-10-03,date,wikidata,https://www.wikidata.org/wiki/Q11383362,Q11383362,,2026-08-15T07:57:14Z,Wikidata P571,
E00130,1853,株式会社　森組,date_of_establishment,1934-02-03,date,wikidata,https://www.wikidata.org/wiki/Q11540223,Q11540223,,2026-08-15T07:57:14Z,Wikidata P571,
E00133,1897,金下建設株式会社,date_of_establishment,1951-04-10,date,wikidata,https://www.wikidata.org/wiki/Q11646292,Q11646292,,2026-08-15T07:57:14Z,Wikidata P571,
E00137,1934,株式会社ユアテック,date_of_establishment,1944-10-10,date,wikidata,https://www.wikidata.org/wiki/Q11345522,Q11345522,,2026-08-15T07:57:14Z,Wikidata P571,
E00138,1967,株式会社ヤマト,date_of_establishment,1946-07-12,date,wikidata,https://www.wikidata.org/wiki/Q11345169,Q11345169,,2026-08-15T07:57:14Z,Wikidata P571,
E00142,1929,日特建設株式会社,date_of_establishment,1947-12-17,date,wikidata,https://www.wikidata.org/wiki/Q11509683,Q11509683,,2026-08-15T07:57:14Z,Wikidata P571,
E00143,1928,積水ハウス株式会社,date_of_establishment,1960-08-01,date,wikidata,https://www.wikidata.org/wiki/Q1539141,Q1539141,,2026-08-15T07:57:14Z,Wikidata P571,
E00146,1959,株式会社クラフティア,date_of_establishment,1944-12-01,date,wikidata,https://www.wikidata.org/wiki/Q11370470,Q11370470,,2026-08-15T07:57:14Z,Wikidata P571,
E00147,1860,戸田建設株式会社,date_of_establishment,1936-07-10,date,wikidata,https://www.wikidata.org/wiki/Q11496515,Q11496515,,2026-08-15T07:57:14Z,Wikidata P571,
E00148,1870,矢作建設工業株式会社,date_of_establishment,1949-05-14,date,wikidata,https://www.wikidata.org/wiki/Q11583913,Q11583913,,2026-08-15T07:57:14Z,Wikidata P571,
E00149,1969,高砂熱学工業株式会社,date_of_establishment,1923-11-16,date,wikidata,https://www.wikidata.org/wiki/Q11672632,Q11672632,,2026-08-15T07:57:14Z,Wikidata P571,
E00153,1975,株式会社朝日工業社,date_of_establishment,1940-08-08,date,wikidata,https://www.wikidata.org/wiki/Q11517498,Q11517498,,2026-08-15T07:57:14Z,Wikidata P571,
E00157,8157,都築電気株式会社,date_of_establishment,1941-03-26,date,wikidata,https://www.wikidata.org/wiki/Q11643811,Q11643811,,2026-08-15T07:57:14Z,Wikidata P571,
E00161,1976,明星工業株式会社,date_of_establishment,1947-07-02,date,wikidata,https://www.wikidata.org/wiki/Q17230520,Q17230520,,2026-08-15T07:57:14Z,Wikidata P571,
E00167,1807,株式会社佐藤渡辺,date_of_establishment,1938-12-20,date,wikidata,https://www.wikidata.org/wiki/Q11384231,Q11384231,,2026-08-15T07:57:14Z,Wikidata P571,
E00173,1960,株式会社サンテック,date_of_establishment,1948-10-28,date,wikidata,https://www.wikidata.org/wiki/Q17210076,Q17210076,,2026-08-15T07:57:14Z,Wikidata P571,
E00175,1866,北野建設株式会社,date_of_establishment,1946-08-31,date,wikidata,https://www.wikidata.org/wiki/Q11404287,Q11404287,,2026-08-15T07:57:14Z,Wikidata P571,
E00176,1898,世紀東急工業株式会社,date_of_establishment,1950-01-16,date,wikidata,https://www.wikidata.org/wiki/Q11362506,Q11362506,,2026-08-15T07:57:14Z,Wikidata P571,
E00179,1867,株式会社植木組,date_of_establishment,1948-07-26,date,wikidata,https://www.wikidata.org/wiki/Q11540535,Q11540535,,2026-08-15T07:57:14Z,Wikidata P571,
E00181,1939,株式会社四電工,date_of_establishment,1963-05-01,date,wikidata,https://www.wikidata.org/wiki/Q11420184,Q11420184,,2026-08-15T07:57:14Z,Wikidata P571,
E00183,1979,株式会社大気社,date_of_establishment,1949-07-07,date,wikidata,https://www.wikidata.org/wiki/Q11436778,Q11436778,,2026-08-15T07:57:14Z,Wikidata P571,
E00185,1938,日本リーテック株式会社,date_of_establishment,1957-04-08,date,wikidata,https://www.wikidata.org/wiki/Q11507029,Q11507029,,2026-08-15T07:57:14Z,Wikidata P571,
E00187,9767,日建工学株式会社,date_of_establishment,1964,year,wikidata,https://www.wikidata.org/wiki/Q140908408,Q140908408,,2026-08-15T08:40:42Z,Wikidata P571,
E00194,1980,ダイダン株式会社,date_of_establishment,1933-10-10,date,wikidata,https://www.wikidata.org/wiki/Q11316803,Q11316803,,2026-08-15T07:57:14Z,Wikidata P571,
E00196,1899,株式会社福田組,date_of_establishment,1927-12-29,date,wikidata,https://www.wikidata.org/wiki/Q11594237,Q11594237,,2026-08-15T07:57:14Z,Wikidata P571,
E00197,1873,株式会社日本ハウスホールディングス,date_of_establishment,1969-02-13,date,wikidata,https://www.wikidata.org/wiki/Q11527127,Q11527127,,2026-08-15T07:57:14Z,Wikidata P571,
E00201,1869,名工建設株式会社,date_of_establishment,1941-06-28,date,wikidata,https://www.wikidata.org/wiki/Q11415415,Q11415415,,2026-08-15T07:57:14Z,Wikidata P571,
E00204,1914,日本基礎技術株式会社,date_of_establishment,1953,year,wikipedia,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E5%9F%BA%E7%A4%8E%E6%8A%80%E8%A1%93,,日本基礎技術,2026-08-15T07:57:17Z,Wikipedia infobox 設立,
E00207,1930,北陸電気工事株式会社,date_of_establishment,1944-10-01,date,wikidata,https://www.wikidata.org/wiki/Q11404487,Q11404487,,2026-08-15T07:57:14Z,Wikidata P571,
E00208,9743,株式会社丹青社,date_of_establishment,1959-12-25,date,wikidata,https://www.wikidata.org/wiki/Q11368706,Q11368706,,2026-08-15T07:57:14Z,Wikidata P571,
E00209,1966,株式会社　高田工業所,date_of_establishment,1948-06-30,date,wikidata,https://www.wikidata.org/wiki/Q11672104,Q11672104,,2026-08-15T07:57:14Z,Wikidata P571,
E00218,1878,大東建託株式会社,date_of_establishment,1974-06-20,date,wikidata,https://www.wikidata.org/wiki/Q11436136,Q11436136,,2026-08-15T07:57:14Z,Wikidata P571,
E00221,1879,新日本建設株式会社,date_of_establishment,1969-02-19,date,wikidata,https://www.wikidata.org/wiki/Q11502372,Q11502372,,2026-08-15T07:57:14Z,Wikidata P571,
E00227,1952,新日本空調株式会社,date_of_establishment,1969-10-01,date,wikidata,https://www.wikidata.org/wiki/Q11502398,Q11502398,,2026-08-15T07:57:14Z,Wikidata P571,
E00233,1904,大成温調株式会社,date_of_establishment,1952-12-22,date,wikidata,https://www.wikidata.org/wiki/Q21019116,Q21019116,,2026-08-15T07:57:14Z,Wikidata P571,
E00238,1848,株式会社富士ピー・エス,date_of_establishment,1954,year,wikidata,https://www.wikidata.org/wiki/Q11455886,Q11455886,,2026-08-15T07:57:14Z,Wikidata P571,
E00239,1844,株式会社大盛工業,date_of_establishment,1967-06-13,date,wikidata,https://www.wikidata.org/wiki/Q11438057,Q11438057,,2026-08-15T07:57:14Z,Wikidata P571,
E00242,1828,田辺工業株式会社,date_of_establishment,1969-02-01,date,wikidata,https://www.wikidata.org/wiki/Q11577329,Q11577329,,2026-08-15T07:57:14Z,Wikidata P571,
E00246,1997,暁飯島工業株式会社,date_of_establishment,1965-06-01,date,wikidata,https://www.wikidata.org/wiki/Q11514865,Q11514865,,2026-08-15T07:57:14Z,Wikidata P571,
E00248,1999,サイタホールディングス株式会社,date_of_establishment,1955-12-27,date,wikidata,https://www.wikidata.org/wiki/Q11304089,Q11304089,,2026-08-15T07:57:14Z,Wikidata P571,
E00250,1799,第一建設工業株式会社,date_of_establishment,1942-09-23,date,wikidata,https://www.wikidata.org/wiki/Q11602064,Q11602064,,2026-08-15T07:57:14Z,Wikidata P571,
E00251,1798,株式会社守谷商会,date_of_establishment,1955-08-02,date,wikidata,https://www.wikidata.org/wiki/Q11450120,Q11450120,,2026-08-15T07:57:14Z,Wikidata P571,
E00254,1795,株式会社マサル,date_of_establishment,2018-02-15,date,wikipedia,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%B5%E3%83%AB%20%28%E7%8A%AC%29,,マサル (犬),2026-08-15T08:40:44Z,Wikipedia infobox 設立,
E00255,1793,株式会社大本組,date_of_establishment,1937-12-19,date,wikidata,https://www.wikidata.org/wiki/Q11435936,Q11435936,,2026-08-15T07:57:14Z,Wikidata P571,
E00259,1788,株式会社三東工業社,date_of_establishment,1954-07-21,date,wikidata,https://www.wikidata.org/wiki/Q11355871,Q11355871,,2026-08-15T07:57:14Z,Wikidata P571,
E00263,1783,株式会社ｆａｎｔａｓｉｓｔａ,date_of_establishment,1950-08-01,date,wikidata,https://www.wikidata.org/wiki/Q11188621,Q11188621,,2026-08-15T07:57:14Z,Wikidata P571,
E00268,1780,株式会社　ヤマウラ,date_of_establishment,1960-08-30,date,wikidata,https://www.wikidata.org/wiki/Q11345107,Q11345107,,2026-08-15T07:57:14Z,Wikidata P571,
E00271,1777,川崎設備工業株式会社,date_of_establishment,1951-10-29,date,wikidata,https://www.wikidata.org/wiki/Q11478578,Q11478578,,2026-08-15T07:57:14Z,Wikidata P571,
E00276,1771,日本乾溜工業株式会社,date_of_establishment,1939-07-01,date,wikidata,https://www.wikidata.org/wiki/Q11507154,Q11507154,,2026-08-15T07:57:14Z,Wikidata P571,
E00277,1770,藤田エンジニアリング株式会社,date_of_establishment,1964-10-28,date,wikidata,https://www.wikidata.org/wiki/Q11624667,Q11624667,,2026-08-15T07:57:14Z,Wikidata P571,
E00279,1768,株式会社ソネック,date_of_establishment,1944-03-14,date,wikidata,https://www.wikidata.org/wiki/Q11315220,Q11315220,,2026-08-15T07:57:14Z,Wikidata P571,
E00281,1766,東建コーポレーション株式会社,date_of_establishment,1976-07-17,date,wikidata,https://www.wikidata.org/wiki/Q11526904,Q11526904,,2026-08-15T07:57:14Z,Wikidata P571,
E00285,1762,株式会社髙松コンストラクショングループ,date_of_establishment,1965-06-07,date,wikidata,https://www.wikidata.org/wiki/Q420659,Q420659,,2026-08-15T07:57:14Z,Wikidata P571,
E00287,1758,太洋基礎工業株式会社,date_of_establishment,1967-05-01,date,wikidata,https://www.wikidata.org/wiki/Q11444046,Q11444046,,2026-08-15T07:57:14Z,Wikidata P571,
E00311,8904,株式会社ＡＶＡＮＴＩＡ,date_of_establishment,1989-11-16,date,wikidata,https://www.wikidata.org/wiki/Q11306020,Q11306020,,2026-08-15T07:57:14Z,Wikidata P571,
E00315,1718,美樹工業株式会社,date_of_establishment,1962-01-23,date,wikidata,https://www.wikidata.org/wiki/Q11609134,Q11609134,,2026-08-15T07:57:14Z,Wikidata P571,
E00316,1720,東急建設株式会社,date_of_establishment,2003-04-10,date,wikidata,https://www.wikidata.org/wiki/Q11527014,Q11527014,,2026-08-15T07:57:14Z,Wikidata P571,
E00317,1719,株式会社安藤・間,date_of_establishment,1889,year,wikidata,https://www.wikidata.org/wiki/Q4410214,Q4410214,,2026-08-15T07:57:14Z,Wikidata P571,
E00320,1716,第一カッター興業株式会社,date_of_establishment,1967-08-09,date,wikidata,https://www.wikidata.org/wiki/Q96312883,Q96312883,,2026-08-15T07:57:14Z,Wikidata P571,
E00322,1721,コムシスホールディングス株式会社,date_of_establishment,2003,year,wikidata,https://www.wikidata.org/wiki/Q520243,Q520243,,2026-08-15T07:57:14Z,Wikidata P571,
E00323,1401,株式会社エムビーエス,date_of_establishment,2001-07-17,date,wikidata,https://www.wikidata.org/wiki/Q11290821,Q11290821,,2026-08-15T07:57:14Z,Wikidata P571,
E00327,1407,株式会社ウエストホールディングス,date_of_establishment,2006-03-01,date,wikidata,https://www.wikidata.org/wiki/Q11288661,Q11288661,,2026-08-15T07:57:14Z,Wikidata P571,
E00329,1414,ショーボンドホールディングス株式会社,date_of_establishment,2008-01-04,date,wikipedia,https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A7%E3%83%BC%E3%83%9C%E3%83%B3%E3%83%89%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9,,ショーボンドホールディングス,2026-08-15T07:57:17Z,Wikipedia infobox 設立,
E00331,2264,森永乳業株式会社,date_of_establishment,1949-04-13,date,wikidata,https://www.wikidata.org/wiki/Q6912239,Q6912239,,2026-08-15T07:57:14Z,Wikidata P571,
E00334,2282,日本ハム株式会社,date_of_establishment,1949,year,wikidata,https://www.wikidata.org/wiki/Q7039626,Q7039626,,2026-08-15T07:57:14Z,Wikidata P571,
E00335,2281,プリマハム株式会社,date_of_establishment,1948-07-09,date,wikidata,https://www.wikidata.org/wiki/Q11335637,Q11335637,,2026-08-15T07:57:14Z,Wikidata P571,
E00337,2266,六甲バター株式会社,date_of_establishment,1948-12-13,date,wikidata,https://www.wikidata.org/wiki/Q11392449,Q11392449,,2026-08-15T07:57:14Z,Wikidata P571,
E00341,2291,福留ハム株式会社,date_of_establishment,1958-03-22,date,wikidata,https://www.wikidata.org/wiki/Q11594297,Q11594297,,2026-08-15T07:57:14Z,Wikidata P571,
E00342,2292,エスフーズ株式会社,date_of_establishment,1967-05-22,date,wikidata,https://www.wikidata.org/wiki/Q11290098,Q11290098,,2026-08-15T07:57:14Z,Wikidata P571,
E00343,2293,滝沢ハム株式会社,date_of_establishment,1950-12-20,date,wikidata,https://www.wikidata.org/wiki/Q11565208,Q11565208,,2026-08-15T07:57:14Z,Wikidata P571,
E00344,1380,株式会社秋川牧園,date_of_establishment,1979-05-25,date,wikidata,https://www.wikidata.org/wiki/Q11595082,Q11595082,,2026-08-15T07:57:14Z,Wikidata P571,
E00345,2001,株式会社ニップン,date_of_establishment,1896,year,wikidata,https://www.wikidata.org/wiki/Q1357076,Q1357076,,2026-08-15T07:57:14Z,Wikidata P571,
E00346,2002,株式会社日清製粉グループ本社,date_of_establishment,1900,year,wikidata,https://www.wikidata.org/wiki/Q7041111,Q7041111,,2026-08-15T07:57:14Z,Wikidata P571,
E00347,2003,日東富士製粉株式会社,date_of_establishment,1914-03-25,date,wikidata,https://www.wikidata.org/wiki/Q11509512,Q11509512,,2026-08-15T07:57:14Z,Wikidata P571,
E00348,2004,昭和産業株式会社,date_of_establishment,1936-02-18,date,wikidata,https://www.wikidata.org/wiki/Q11514112,Q11514112,,2026-08-15T07:57:14Z,Wikidata P571,
E00351,2009,鳥越製粉株式会社,date_of_establishment,1935-12-24,date,wikidata,https://www.wikidata.org/wiki/Q11675152,Q11675152,,2026-08-15T07:57:14Z,Wikidata P571,
E00355,2108,日本甜菜製糖株式会社,date_of_establishment,1919-06-11,date,wikidata,https://www.wikidata.org/wiki/Q11508607,Q11508607,,2026-08-15T07:57:14Z,Wikidata P571,
E00356,2109,ＤＭ三井製糖株式会社,date_of_establishment,2021-04-01,date,wikidata,https://www.wikidata.org/wiki/Q121847503,Q121847503,,2026-08-15T07:57:14Z,Wikidata P571,
E00360,2114,フジ日本株式会社,date_of_establishment,1949-07-19,date,wikidata,https://www.wikidata.org/wiki/Q11333315,Q11333315,,2026-08-15T07:57:14Z,Wikidata P571,
E00361,2112,塩水港精糖株式会社,date_of_establishment,1950-07-01,date,wikidata,https://www.wikidata.org/wiki/Q3847416,Q3847416,,2026-08-15T07:57:14Z,Wikidata P571,
E00369,2201,森永製菓株式会社,date_of_establishment,1910-02-23,date,wikidata,https://www.wikidata.org/wiki/Q1076089,Q1076089,,2026-08-15T07:57:14Z,Wikidata P571,
E00371,2209,井村屋グループ株式会社,date_of_establishment,1947-04-08,date,wikidata,https://www.wikidata.org/wiki/Q11373626,Q11373626,,2026-08-15T07:57:14Z,Wikidata P571,
E00372,2204,株式会社中村屋,date_of_establishment,1901-12,month,wikidata,https://www.wikidata.org/wiki/Q11365540,Q11365540,,2026-08-15T07:57:14Z,Wikidata P571,
E00373,2206,江崎グリコ株式会社,date_of_establishment,1929-02-22,date,wikidata,https://www.wikidata.org/wiki/Q391534,Q391534,,2026-08-15T07:57:14Z,Wikidata P571,
E00374,2211,株式会社不二家,date_of_establishment,1910-11,month,wikidata,https://www.wikidata.org/wiki/Q858452,Q858452,,2026-08-15T07:57:14Z,Wikidata P571,
E00375,2212,山崎製パン株式会社,date_of_establishment,1948,year,wikidata,https://www.wikidata.org/wiki/Q3138937,Q3138937,,2026-08-15T07:57:14Z,Wikidata P571,
E00376,2207,株式会社ｍｅｉｔｏ,date_of_establishment,1945-02-08,date,wikidata,https://www.wikidata.org/wiki/Q11415537,Q11415537,,2026-08-15T07:57:14Z,Wikidata P571,
